0.011111111,0.0015827508,0.2,0.02848951,0,0,0,0
0.020833334,0.002967658,0.2,0.02848951,0,0,0,0
0.031944446,0.004550408,0.2,0.02848951,0,0,0,0
0.041666668,0.0059353136,0.2,0.02848951,0,0,0,0
0.05138889,0.007320219,0.2,0.02848951,0,0,0,0
0.06111111,0.008705125,0.2,0.02848951,0,0,0,0
0.070833355,0.010090031,0.2,0.02848951,0,0,0,0
0.0805556,0.011474936,0.2,0.02848951,0,0,0,0
0.09166674,0.013057685,0.2,0.02848951,0,0,0,0
0.10138899,0.014442591,0.2,0.02848951,0,0,0,0
0.11111124,0.015827497,0.2,0.02848951,0,0,0,0
0.12083349,0.01721241,0.2,0.02848951,0,0,0,0
0.13194463,0.018795166,0.2,0.02848951,0,-0.020833334,0,-1
0.14166687,0.020180078,0.2,0.02848951,0,-0.045138896,0,-1
0.15138912,0.02156499,0.2,0.02848951,0,-0.052083343,0,0
0.16111137,0.022949902,0.2,0.02848951,0,-0.052083343,0,0
0.17083362,0.024334814,0.2,0.02848951,0,-0.052083343,0,0
0.18194476,0.025917571,0.2,0.02848951,0,-0.038194448,0,1
0.191667,0.027302483,0.2,0.02848951,0,-0.01388889,0,1
0.20138925,0.028687395,0.2,0.02848951,0,0.010416665,0,1
0.2111115,0.030072307,0.2,0.02848951,0,0.03472222,0,1
0.22083375,0.031457216,0.2,0.02848951,0,0.03472222,0,0
0.23194489,0.033039957,0.2,0.02848951,0,0.03472222,0,0
0.24166714,0.034424856,0.2,0.02848951,0,0.03472222,0,0
0.25138935,0.035809755,0.2,0.02848951,0,0.03472222,0,0
0.2611115,0.037194654,0.2,0.02848951,0,0.03472222,0,0
0.27083364,0.038579553,0.2,0.02848951,0,0.03472222,0,0
0.28194466,0.040162295,0.2,0.02848951,0,0.03472222,0,0
0.2916668,0.041547194,0.2,0.02848951,0,0.03472222,0,0
0.30138895,0.042932093,0.2,0.02848951,0,0.03472222,0,0
0.3111111,0.044316992,0.2,0.02848951,0,0.03472222,0,0
0.32083324,0.04570189,0.2,0.02848951,0,0.03472222,0,0
0.33194426,0.047284633,0.2,0.02848951,0,0.03472222,0,0
0.3416664,0.048669532,0.2,0.02848951,0,0.03472222,0,0
0.35138854,0.05005443,0.2,0.02848951,0,0.03472222,0,0
0.3611107,0.05143933,0.2,0.02848951,0,0.03472222,0,0
0.37083283,0.05282423,0.2,0.02848951,0,0.03472222,0,0
0.38194385,0.05440697,0.2,0.02848951,0,0.03472222,0,0
0.37531948,0.05712677,-0.25,0.06693479,0,0.03472222,0,0
0.36316675,0.060380533,-0.25,0.06693479,0,0.03472222,0,0
0.35101402,0.063634306,-0.25,0.06693479,0,0.03472222,0,0
0.3388613,0.066888094,-0.25,0.06693479,0,0.03472222,0,0
0.32497245,0.07060671,-0.25,0.06693479,0,0.03472222,0,0
0.31281972,0.0738605,-0.25,0.06693479,0,0.03472222,0,0
0.300667,0.077114284,-0.25,0.06693479,0.0069444445,0.03472222,1,0
0.28851426,0.08036807,-0.25,0.06693479,0.03125,0.03472222,1,0
0.27462718,0.08408621,-0.25,0.06693479,0.059024233,0.03472222,1,0
0.26247445,0.08734,-0.25,0.06693479,0.0833298,0.03472222,1,0
0.25032172,0.090593785,-0.25,0.06693479,0.09374647,0.03472222,0,0
